'Kod','Nazev','Obec','Pou','Nespravny','PlatiOd','PlatiDo','IdTransakce','GlobalniIdNavrhuZmeny','NespravneUdaje','OznacenoDne','OznacenoInfo'
576441,'Křížová',552046,,,2011-07-01,,0,0,,,
576565,'Luční',552046,,,2011-07-01,,0,0,,,
576638,'Michalovicova',552046,,,2011-07-01,,0,0,,,
576875,'Nad Záhybem',552046,,,2014-05-26,,609050,585036,,,
577111,'Politických vězňů',552046,,,2013-10-25,,378903,448188,,,
577332,'Sezimova',552046,,,2013-10-25,,378903,448188,,,
577359,'Skálova',552046,,,2013-10-25,,378903,448188,,,
577367,'Smetanova',552046,,,2011-07-01,,0,0,,,
577481,'Střelnická II',552046,,,2011-07-01,,0,0,,,
577511,'Šafaříkova',552046,,,2011-07-01,,0,0,,,
577570,'Špitálské nám.',552046,,,2011-07-01,,0,0,,,
577596,'Šultysova',552046,,,2011-07-01,,0,0,,,
577707,'Tyršova',552046,,,2011-07-01,,0,0,,,
577740,'U Hřiště',552046,,,2013-10-25,,378903,448188,,,
577855,'U Stadionu Míru',552046,,,2013-10-25,,378903,448188,,,
577979,'Vančurova',552046,,,2013-10-25,,378903,448188,,,
577987,'Varšavská',552046,,,2013-10-25,,378903,448188,,,
578231,'U Čápova dvora',552046,,,2013-11-04,,384761,449946,,,
578304,'U Klokotského kláštera',552046,,,2011-07-01,,0,0,,,
578401,'6. července',552046,,,2014-03-12,,553582,554632,,,
578436,'Alešovo nábřeží',553271,,,2011-07-01,,0,0,,,
578509,'Čtvrť J. Hybeše',553271,,,2013-07-02,,257017,419004,,,
578533,'Hamerská',553271,,,2013-10-23,,375782,447564,,,
578568,'Hrubínova',553271,,,2011-07-01,,0,0,,,
578665,'K Zastávce',553271,,,2011-07-01,,0,0,,,
578789,'Na Kapradí',553271,,,2011-07-01,,0,0,,,
661881,'Ve Dvoře',552461,,,2014-01-22,,476457,496972,,,
667323,'Za Domky',552046,,,2011-07-01,,0,0,,,
689211,'Slepá',552496,,,2011-07-01,,0,0,,,
689254,'Za Školkou',552496,,,2011-07-01,,0,0,,,
689602,'Malojordánská',552046,,,2011-07-01,,0,0,,,
721654,'Hraběcí',552828,,,2014-02-28,,540724,546835,,,
741779,'Pelhřimovská',552046,,,2014-02-25,,536114,543320,,,
745111,'Senovážná',552046,,,2011-07-01,,0,0,,,
764213,'Lomenská',552704,,,2011-07-01,,0,0,,,
772712,'Zvonková',553069,,,2011-07-01,,0,0,,,
781541,'Lomená',552054,,,2011-07-01,,0,0,,,
792501,'Větrná',553271,,,2013-10-23,,375782,447564,,,
868051,'Na Jezárkách',553131,,,2012-07-03,,2281,116495,,,
571571,'U Stadionu',552054,,,2011-07-01,,0,0,,,
571598,'Větrov',552054,,,2011-07-01,,0,0,,,
